"Mojito Fraise","Ingrédients : rhum cubain (havana club, bacardi), feuille de menthe, citron vert, fraises, jus de fraises, sirop de sucre de canne.Réalisez la recette ""Mojito Fraise"" directement dans le verre. Coupez le demi citron...","3.1"," ","true"
"Financier à la cerise","Ingrédients : sucre semoule,poudre d'amande,blanc d'oeuf,beurre demi-sel + 5 g pour le moule,farine,cerise.Préchauffez le four à 170°C (th.7).Dénoyautez les cerises. Faites fondre le...","3","  35 min","true"
"Fondant au chocolat","Ingrédients : chocolat, beurre doux, sucre semoule, oeuf, farine.Préchauffer le four à 180°C (thermostat 6)....","4.6","  35 min","true"
